user_standort,timestamp_meldung,timestamp_letzteBearbeitung,user_text,user_kategorie,ki_stelle,ki_prio
"(52.4235, 10.8)",2025-01-10 13:21:46,2025-01-12 12:21:46,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.4235, 10.8)",2024-11-28 05:07:40,2024-11-30 01:07:40,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.420148, 10.769726)",2024-10-17 17:35:23,2024-10-18 22:35:23,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,low
"(52.426669, 10.790072)",2024-08-02 02:41:36,2024-08-03 04:41:36,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,high
"(52.428, 10.775)",2024-10-17 11:11:45,2024-10-19 09:11:45,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.420148, 10.769726)",2024-08-17 16:34:41,2024-08-19 07:34:41,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.421, 10.795)",2024-09-28 14:07:08,2024-09-30 11:07:08,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,low
"(52.420148, 10.769726)",2024-12-25 12:42:24,2024-12-26 01:42:24,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.426669, 10.790072)",2025-01-04 23:47:03,2025-01-05 14:47:03,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
"(52.426669, 10.790072)",2024-08-31 11:33:58,2024-09-01 00:33:58,Toter Vogel auf dem Gehweg,Tiere,Landschaftsbild,low
"(52.43, 10.78)",2024-08-01 09:47:07,2024-08-02 02:47:07,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.4195, 10.7705)",2024-09-26 00:41:10,2024-09-26 19:41:10,Straße nach Sturm nicht geräumt,Straßenreinigung/ Winterdienst,Stadtreinigung,low
"(52.43, 10.78)",2024-10-06 06:57:45,2024-10-06 12:57:45,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,medium
"(52.4235, 10.8)",2024-09-13 20:35:40,2024-09-15 18:35:40,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
"(52.43, 10.78)",2024-09-18 08:07:11,2024-09-18 10:07:11,Toter Vogel auf dem Gehweg,Tiere,Landschaftsbild,low
"(52.420148, 10.769726)",2024-09-07 12:59:21,2024-09-07 23:59:21,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.426669, 10.790072)",2024-09-27 04:14:36,2024-09-27 18:14:36,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,low
"(52.4278, 10.7856)",2024-09-13 11:07:47,2024-09-13 19:07:47,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,low
"(52.4278, 10.7856)",2024-11-30 00:16:05,2024-12-01 18:16:05,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,medium
"(52.422501, 10.786042)",2024-09-04 17:09:01,2024-09-06 09:09:01,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,high
"(52.428, 10.775)",2025-01-17 04:19:44,2025-01-18 19:19:44,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,low
"(52.4195, 10.7705)",2024-12-06 21:40:40,2024-12-08 14:40:40,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.428, 10.775)",2024-10-01 17:17:59,2024-10-02 00:17:59,Toter Vogel auf dem Gehweg,Tiere,Landschaftsbild,high
"(52.4195, 10.7705)",2024-10-25 15:23:45,2024-10-26 19:23:45,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,medium
"(52.420148, 10.769726)",2025-01-26 20:09:06,2025-01-28 11:09:06,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.425, 10.782)",2024-12-08 19:40:05,2024-12-09 12:40:05,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,medium
"(52.425, 10.782)",2024-12-10 06:54:50,2024-12-11 18:54:50,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,low
"(52.426669, 10.790072)",2025-03-11 23:13:15,2025-03-13 22:13:15,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,high
"(52.422501, 10.786042)",2024-09-08 17:23:18,2024-09-09 21:23:18,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,low
"(52.426669, 10.790072)",2025-01-25 17:54:54,2025-01-26 10:54:54,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,low
"(52.425, 10.782)",2024-10-29 09:16:41,2024-10-31 06:16:41,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.420148, 10.769726)",2024-11-05 02:36:56,2024-11-06 09:36:56,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.4278, 10.7856)",2024-10-12 13:14:38,2024-10-13 00:14:38,"Glätte auf der Straße, kein Streusalz",Straßenreinigung/ Winterdienst,Stadtreinigung,medium
"(52.421, 10.795)",2024-11-01 22:12:08,2024-11-03 10:12:08,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.428, 10.775)",2024-09-09 12:14:06,2024-09-09 18:14:06,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,medium
"(52.43, 10.78)",2025-03-08 15:32:33,2025-03-10 03:32:33,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,medium
"(52.422501, 10.786042)",2024-08-12 06:47:44,2024-08-13 11:47:44,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,low
"(52.4195, 10.7705)",2024-11-25 00:11:59,2024-11-26 05:11:59,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.420148, 10.769726)",2024-12-08 02:37:40,2024-12-08 21:37:40,Straße nach Sturm nicht geräumt,Straßenreinigung/ Winterdienst,Stadtreinigung,low
"(52.43, 10.78)",2024-08-18 07:34:01,2024-08-18 11:34:01,Gehwegplatten sind locker,Straßen bzw. Wegschäden,Straßenbau,medium
"(52.422501, 10.786042)",2025-01-18 03:22:14,2025-01-18 22:22:14,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,low
"(52.422501, 10.786042)",2024-10-13 04:43:12,2024-10-14 09:43:12,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,low
"(52.428, 10.775)",2024-12-19 07:14:44,2024-12-20 20:14:44,Die Mauer ist schmutzig,Vandalismus,Stadtreinigung,low
"(52.420148, 10.769726)",2024-12-09 13:11:57,2024-12-10 14:11:57,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,low
"(52.421, 10.795)",2025-01-08 04:05:02,2025-01-08 18:05:02,"Das Gras ist zu hoch, mein Hund sieht nichts",Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.428, 10.775)",2024-10-05 18:04:16,2024-10-06 06:04:16,Die Mauer ist schmutzig,Vandalismus,Stadtreinigung,low
"(52.425, 10.782)",2024-10-15 11:39:00,2024-10-17 05:39:00,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,medium
"(52.426669, 10.790072)",2025-01-01 07:02:44,2025-01-03 04:02:44,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,low
"(52.420148, 10.769726)",2024-12-17 02:15:42,2024-12-18 02:15:42,Licht in der Parkstraße ist kaputt,Straßenbeleuchtung,Straßenbau,low
"(52.420148, 10.769726)",2025-02-21 06:13:30,2025-02-23 03:13:30,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,low
"(52.43, 10.78)",2024-08-28 11:15:29,2024-08-29 20:15:29,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,low
"(52.420148, 10.769726)",2024-09-03 16:06:03,2024-09-04 17:06:03,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
"(52.43, 10.78)",2025-01-06 12:55:38,2025-01-08 09:55:38,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,high
"(52.4278, 10.7856)",2024-12-05 02:23:37,2024-12-05 21:23:37,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,low
"(52.43, 10.78)",2024-12-18 09:30:32,2024-12-19 06:30:32,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,high
"(52.428, 10.775)",2024-11-23 03:48:41,2024-11-24 04:48:41,Gehwegplatten sind locker,Straßen bzw. Wegschäden,Straßenbau,high
"(52.4278, 10.7856)",2024-12-24 23:48:06,2024-12-25 10:48:06,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
"(52.4235, 10.8)",2024-08-31 01:44:39,2024-09-01 12:44:39,Großes Schlagloch auf der Straße,Straßen bzw. Wegschäden,Straßenbau,medium
"(52.420148, 10.769726)",2025-01-29 00:38:07,2025-01-30 11:38:07,Großes Schlagloch auf der Straße,Straßen bzw. Wegschäden,Straßenbau,low
"(52.426669, 10.790072)",2025-03-02 12:31:05,2025-03-03 01:31:05,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,low
"(52.420148, 10.769726)",2024-10-04 23:39:54,2024-10-05 00:39:54,Falsches Verkehrsschild entdeckt,Verkehrshinweise,Straßenbau,low
"(52.428, 10.775)",2024-08-20 15:32:03,2024-08-21 05:32:03,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,medium
"(52.428, 10.775)",2024-11-03 01:56:16,2024-11-04 20:56:16,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,medium
"(52.4278, 10.7856)",2024-08-29 17:13:44,2024-08-31 12:13:44,Abfluss ist verstopft nach Regen,Verstopfter Gulli,Straßenbau,low
"(52.421, 10.795)",2025-01-27 23:12:36,2025-01-28 21:12:36,Graffiti an der Brücke sieht hässlich aus,Vandalismus,Stadtreinigung,low
"(52.425, 10.782)",2024-08-08 02:39:06,2024-08-08 13:39:06,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,low
"(52.4195, 10.7705)",2025-02-09 18:01:52,2025-02-10 03:01:52,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
"(52.4195, 10.7705)",2024-11-12 07:08:53,2024-11-13 02:08:53,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,low
"(52.420148, 10.769726)",2024-10-24 05:26:24,2024-10-24 15:26:24,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.421, 10.795)",2025-01-30 02:09:41,2025-01-30 23:09:41,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,low
"(52.4278, 10.7856)",2024-11-17 01:03:34,2024-11-18 06:03:34,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,low
"(52.422501, 10.786042)",2025-01-25 00:27:27,2025-01-26 23:27:27,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.421, 10.795)",2024-11-08 03:31:23,2024-11-08 11:31:23,Bushaltestelle wurde beschädigt,Vandalismus,Stadtreinigung,low
"(52.421, 10.795)",2024-12-24 11:39:21,2024-12-25 09:39:21,Licht in der Parkstraße ist kaputt,Straßenbeleuchtung,Straßenbau,low
"(52.4278, 10.7856)",2024-10-10 20:19:04,2024-10-11 23:19:04,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,medium
"(52.4195, 10.7705)",2024-10-05 14:25:00,2024-10-06 14:25:00,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.4195, 10.7705)",2025-01-06 18:10:00,2025-01-07 17:10:00,Toter Vogel auf dem Gehweg,Tiere,Landschaftsbild,low
"(52.4195, 10.7705)",2024-08-20 19:20:33,2024-08-21 17:20:33,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,medium
"(52.422501, 10.786042)",2025-01-22 18:52:30,2025-01-23 05:52:30,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,medium
"(52.420148, 10.769726)",2025-01-09 03:26:50,2025-01-10 01:26:50,Gehwegplatten sind locker,Straßen bzw. Wegschäden,Straßenbau,medium
"(52.425, 10.782)",2024-12-17 13:43:13,2024-12-19 04:43:13,Licht in der Parkstraße ist kaputt,Straßenbeleuchtung,Straßenbau,low
"(52.422501, 10.786042)",2025-03-01 16:10:40,2025-03-02 19:10:40,Laub auf dem Gehweg,Straßenreinigung/ Winterdienst,Stadtreinigung,medium
"(52.43, 10.78)",2024-12-29 09:07:02,2024-12-29 23:07:02,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,low
"(52.4195, 10.7705)",2024-10-30 05:46:35,2024-10-31 06:46:35,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.426669, 10.790072)",2024-12-24 21:47:54,2024-12-26 12:47:54,"Das Gras ist zu hoch, mein Hund sieht nichts",Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.428, 10.775)",2024-10-09 12:03:56,2024-10-10 03:03:56,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,low
"(52.4235, 10.8)",2024-08-01 23:35:09,2024-08-03 18:35:09,Glasscherben auf dem Spielplatz,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.425, 10.782)",2024-10-21 23:10:45,2024-10-22 15:10:45,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,low
"(52.4195, 10.7705)",2024-09-06 16:27:38,2024-09-08 02:27:38,Laub auf dem Gehweg,Straßenreinigung/ Winterdienst,Stadtreinigung,medium
"(52.422501, 10.786042)",2025-01-16 23:47:27,2025-01-17 18:47:27,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,low
"(52.4195, 10.7705)",2024-09-25 11:18:34,2024-09-27 02:18:34,Risse im Asphalt auf der Hauptstraße,Straßen bzw. Wegschäden,Straßenbau,low
"(52.426669, 10.790072)",2024-08-25 03:26:38,2024-08-25 20:26:38,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.420148, 10.769726)",2024-08-21 04:59:45,2024-08-21 10:59:45,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,medium
"(52.43, 10.78)",2024-08-16 00:37:38,2024-08-17 04:37:38,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,low
"(52.421, 10.795)",2024-08-22 18:41:45,2024-08-24 02:41:45,"Gulli verstopft, Wasser staut sich",Verstopfter Gulli,Straßenbau,medium
"(52.428, 10.775)",2024-08-07 07:40:22,2024-08-09 02:40:22,Stein am Brunnen beschädigt,Schaden am Brunnen,Landschaftsbild,medium
"(52.420148, 10.769726)",2025-01-31 16:08:39,2025-02-01 12:08:39,Frei laufender Hund ohne Besitzer,Tiere,Landschaftsbild,low
"(52.43, 10.78)",2025-02-17 08:07:02,2025-02-19 00:07:02,Laub auf dem Gehweg,Straßenreinigung/ Winterdienst,Stadtreinigung,medium
"(52.422501, 10.786042)",2025-01-17 04:55:05,2025-01-17 12:55:05,Unkraut wuchert überall im Park,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.425, 10.782)",2024-08-28 02:25:18,2024-08-29 07:25:18,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,medium
"(52.4278, 10.7856)",2024-11-28 12:08:25,2024-11-30 07:08:25,Großes Schlagloch auf der Straße,Straßen bzw. Wegschäden,Straßenbau,low
"(52.4278, 10.7856)",2024-10-30 08:31:09,2024-10-31 22:31:09,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.4195, 10.7705)",2024-10-18 02:38:24,2024-10-19 04:38:24,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.420148, 10.769726)",2024-12-23 01:59:19,2024-12-24 17:59:19,Graffiti an der Schulwand,Vandalismus,Stadtreinigung,low
"(52.428, 10.775)",2024-09-07 17:00:10,2024-09-08 16:00:10,Mülleimer im Park ist überfüllt,Abfallentsorgung,Stadtreinigung,low
"(52.43, 10.78)",2024-09-09 16:34:54,2024-09-10 17:34:54,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,low
"(52.4235, 10.8)",2025-01-26 04:40:27,2025-01-27 21:40:27,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,medium
"(52.43, 10.78)",2024-09-12 16:23:55,2024-09-13 15:23:55,Ampel an der Kreuzung geht nicht,Defekte Ampel,Straßenbau,low
"(52.4235, 10.8)",2024-09-05 16:13:07,2024-09-07 01:13:07,Eichenprozessionsspinner gesichtet,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.4195, 10.7705)",2025-03-04 02:04:26,2025-03-04 14:04:26,Kleine Äste nach dem Sturm liegen noch herum,Straßenreinigung/ Winterdienst,Stadtreinigung,low
"(52.43, 10.78)",2025-01-24 19:04:53,2025-01-25 01:04:53,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,medium
"(52.426669, 10.790072)",2024-11-19 22:44:56,2024-11-21 03:44:56,Gehwegplatten sind locker,Straßen bzw. Wegschäden,Straßenbau,medium
"(52.422501, 10.786042)",2025-02-10 06:39:09,2025-02-11 09:39:09,Licht in der Parkstraße ist kaputt,Straßenbeleuchtung,Straßenbau,high
"(52.426669, 10.790072)",2024-09-02 14:12:00,2024-09-02 20:12:00,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.425, 10.782)",2024-08-10 13:55:39,2024-08-12 12:55:39,Toter Vogel auf dem Gehweg,Tiere,Landschaftsbild,low
"(52.4195, 10.7705)",2024-08-14 18:13:29,2024-08-15 02:13:29,Bushaltestelle wurde beschädigt,Vandalismus,Stadtreinigung,medium
"(52.43, 10.78)",2024-08-21 12:37:36,2024-08-22 13:37:36,Spielgeräte defekt,Spielplatz verunreinigt/defekt,Landschaftsbild,low
"(52.422501, 10.786042)",2024-10-12 13:23:39,2024-10-14 11:23:39,"Das Gras ist zu hoch, mein Hund sieht nichts",Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.4195, 10.7705)",2024-08-31 11:47:21,2024-08-31 22:47:21,Unkraut überwuchert Gehweg,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.426669, 10.790072)",2024-10-24 02:37:19,2024-10-24 08:37:19,Kleine Äste nach dem Sturm liegen noch herum,Straßenreinigung/ Winterdienst,Stadtreinigung,low
"(52.425, 10.782)",2025-02-24 09:59:20,2025-02-25 02:59:20,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,low
"(52.420148, 10.769726)",2024-10-17 03:16:56,2024-10-19 02:16:56,Straßenlaterne vor meinem Haus flackert,Straßenbeleuchtung,Straßenbau,low
"(52.422501, 10.786042)",2024-12-02 07:51:49,2024-12-04 04:51:49,Die Mauer ist schmutzig,Vandalismus,Stadtreinigung,low
"(52.426669, 10.790072)",2025-03-06 06:32:02,2025-03-07 20:32:02,Markierung auf der Straße kaum sichtbar,Verkehrshinweise,Straßenbau,low
"(52.4278, 10.7856)",2024-10-10 05:41:38,2024-10-12 02:41:38,Brunnenpumpe funktioniert nicht,Schaden am Brunnen,Landschaftsbild,high
"(52.4235, 10.8)",2025-01-21 03:16:52,2025-01-22 12:16:52,Grünphase der Ampel ist zu kurz,Defekte Ampel,Straßenbau,low
"(52.426669, 10.790072)",2024-08-27 03:38:32,2024-08-27 12:38:32,Unkraut wuchert überall im Park,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,medium
"(52.4195, 10.7705)",2024-10-20 21:12:28,2024-10-22 14:12:28,Großes Schlagloch auf der Straße,Straßen bzw. Wegschäden,Straßenbau,low
"(52.4278, 10.7856)",2024-10-14 22:25:19,2024-10-16 01:25:19,Unkraut überwuchert Gehweg,Grünfläche/Unkraut/ Eichenprozessionsspinner,Landschaftsbild,low
"(52.426669, 10.790072)",2024-08-09 02:49:55,2024-08-11 01:49:55,Illegale Müllablagerung am Straßenrand,Abfallentsorgung,Stadtreinigung,low
"(52.422501, 10.786042)",2024-10-08 22:50:22,2024-10-08 23:50:22,Laub auf dem Gehweg,Straßenreinigung/ Winterdienst,Stadtreinigung,low
